79700,HEINÄVESI
86240,PYHÄNKOSKI
97390,KIERINKI
00900,HELSINKI
02760,ESPOO
07590,ASKOLA
13720,PAROLA
50350,NOROLA
55700,IMATRA
56800,SIMPELE
64260,KASKINEN
70101,KUOPIO
74250,NISSILÄ
80130,JOENSUU
03220,TERVALAMPI
07910,VALKO
14610,LEPAA
15141,LAHTI
19650,JOUTSA
32560,VIRTTAA
35750,VÄÄRINMAJA
39501,IKAALINEN
39965,KARVIANKYLÄ
43520,KIMINKI
48710,KOTKA
70500,KUOPIO
74670,RAPAKKOJOKI
80770,KONTIOLAHTI AS
83940,NUNNANLAHTI
99450,PALOJOENSUU
99670,PETKULA
00331,HELSINKI
00511,HELSINKI
00650,HELSINKI
02140,ESPOO
08501,LOHJA
30420,FORSSA
36430,SAHALAHTI
40400,JYVÄSKYLÄ
44170,HIETAMA
63920,INHA
68920,FORSBY
91750,LIMINPURO
95410,TORNIO
95640,JUOKSENKI
00022,TILASTOKESKUS
00760,HELSINKI
02320,ESPOO
21660,NAUVO
26930,VERMUNTILA
31380,LETKU
34510,LUODE
52980,AHVENAINEN
62720,SISSALA
89110,TÖRMÄNMÄKI
92180,LAPALUOTO
95840,VENEJÄRVENKYLÄ
98850,KUOSKU
04380,TUUSULA
00081,A-LEHDET
11111,RIIHIMÄKI
16270,VILLIKKALA
21930,UUSIKARTANO
27450,HAROLA
31641,HUMPPILA
53900,LAPPEENRANTA
59520,SAARI KK
63101,KUORTANE
72310,NIINIVESI
77480,SAVUNIEMI
82220,NIITTYLAHTI
82501,KITEE
86550,MIELUSKYLÄ
92610,VORNA
05800,HYVINKÄÄ
12600,LÄYLIÄINEN
16790,MANSKIVI
17440,VÄHIMAA
21230,LEMU
45911,VOIKKAA
61180,HAAPALUOMA
63450,LÖYÄ
66470,JUKAJA
78210,VARKAUS
79190,VALKEAMÄKI
82840,PIRTTIAHO
86980,VÄLIAHO
91210,JAKKUKYLÄ
01300,VANTAA
03790,VIHTIJÄRVI
13210,HÄMEENLINNA
25560,KOSKI AS
38720,VIHTELJÄRVI
41900,PETÄJÄVESI
42600,MULTIA
46900,INKEROINEN
51880,KOIKKALA
52360,SOMEENJÄRVI
58300,SAVONRANTA
66710,KAITSOR
70870,HILTULANLAHTI
75501,NURMES
01530,VANTAA
01680,VANTAA
04301,TUUSULA
10470,FISKARI
29320,LEINEPERI
33251,TAMPERE
37470,VESILAHTI
47490,MANKALA
51460,LUUSNIEMI
71460,PAUKARLAHTI
71760,AHKIONLAHTI
75990,HÖLJÄKKÄ
94900,KEMI
97840,LEHTINIEMI
70401,KUOPIO
04601,MÄNTSÄLÄ
29860,OTAMO
37800,AKAA
41231,UURAINEN
57710,SAVONLINNA
64701,TEUVA
65170,VAASA
85150,TYPPÖ
89540,MOISIOVAARA
95300,TERVOLA
32770,HUHTAMO
41860,TIKKALA
42440,KOSKENPÄÄ
46810,UMMELJOKI
51820,HATSOLA
52320,VITSIÄLÄ
58201,KERIMÄKI
70800,KUOPIO
97370,UNARIN-LUUSUA
99800,IVALO
01510,VANTAA
01661,VANTAA
04260,KERAVA
24280,SALO
29270,HORMISTO
33231,TAMPERE
43100,SAARIJÄRVI
47440,SÄÄSKJÄRVI
66950,MUNSALA
71330,RÄSÄLÄ
94800,KEMI
97650,JUOTAS
97810,SUORSA
99990,NUORGAM
15111,LAHTI
25370,PERTTELI
29811,SIIKAINEN
33470,YLÖJÄRVI
37370,VESILAHTI
37740,HAUKILA
41210,JOKIHAARA
57510,SAVONLINNA
61950,JUONIKYLÄ
64610,YLIMARKKU
74630,HEINÄKYLÄ
98101,KEMIJÄRVI
08480,LOHJA
15500,LAHTI
20100,TURKU
22930,FISKÖ
33711,TAMPERE
49401,HAMINA
62240,HUHMARKOSKI
65410,SUNDOM
81290,UKKOLA
85540,NIVALA
00033,MTV
00800,HELSINKI
02380,ESPOO
07230,ASKOLA
21720,KORPOSTRÖM
22150,JOMALA
27130,EURAJOKI
31460,HIRSJÄRVI
34640,MUSTAJÄRVI
73350,HALUNA
92260,KOPSA
